row_id	conversation_id	utterance_id	context	target	emotion
30	6	5	> Rachel: `I knew .` > Ross: `You did ! Oh ...` > Ross: `I always figured you just thought I was Monica geeky older brother .` > Rachel: `I did .`	I did .	neutral
31	6	6	> Ross: `You did ! Oh ...` > Ross: `I always figured you just thought I was Monica geeky older brother .` > Rachel: `I did .` > Ross: `Oh .`	Oh .	sadness
32	6	7	> Ross: `I always figured you just thought I was Monica geeky older brother .` > Rachel: `I did .` > Ross: `Oh .` > Ross: `Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?`	Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?	neutral
33	6	8	> Rachel: `I did .` > Ross: `Oh .` > Ross: `Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?` > Rachel: `Yeah , maybe ...`	Yeah , maybe ...	joy
34	6	9	> Ross: `Oh .` > Ross: `Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?` > Rachel: `Yeah , maybe ...` > Ross: `Okay ...`	Okay ...	neutral
35	6	10	> Ross: `Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?` > Rachel: `Yeah , maybe ...` > Ross: `Okay ...` > Ross: `okay , maybe I will ...`	okay , maybe I will ...	neutral
36	7	1	> Mrs. Geller: `What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .`	What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .	sadness
37	7	2	> Mrs. Geller: `What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .` > Mr. Geller: `I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !`	I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !	surprise
38	7	3	> Mrs. Geller: `What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .` > Mr. Geller: `I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !` > Mrs. Geller: `Well , at least she had the chance to leave a man at the altar ...`	Well , at least she had the chance to leave a man at the altar ...	neutral
39	7	4	> Mrs. Geller: `What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .` > Mr. Geller: `I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !` > Mrs. Geller: `Well , at least she had the chance to leave a man at the altar ...` > Monica: `What that supposed to mean ?`	What that supposed to mean ?	surprise
40	7	5	> Mr. Geller: `I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !` > Mrs. Geller: `Well , at least she had the chance to leave a man at the altar ...` > Monica: `What that supposed to mean ?` > Mrs. Geller: `Nothing ! It is an expression .`	Nothing ! It is an expression .	neutral
41	7	6	> Mrs. Geller: `Well , at least she had the chance to leave a man at the altar ...` > Monica: `What that supposed to mean ?` > Mrs. Geller: `Nothing ! It is an expression .` > Monica: `No it is not .`	No it is not .	neutral
42	7	7	> Monica: `What that supposed to mean ?` > Mrs. Geller: `Nothing ! It is an expression .` > Monica: `No it is not .` > Mr. Geller: `Do not listen to your mother .`	Do not listen to your mother .	neutral
43	7	8	> Mrs. Geller: `Nothing ! It is an expression .` > Monica: `No it is not .` > Mr. Geller: `Do not listen to your mother .` > Mr. Geller: `You are independent , and you always have been !`	You are independent , and you always have been !	neutral
44	7	9	> Monica: `No it is not .` > Mr. Geller: `Do not listen to your mother .` > Mr. Geller: `You are independent , and you always have been !` > Mr. Geller: `Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !`	Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !	neutral
45	7	10	> Mr. Geller: `Do not listen to your mother .` > Mr. Geller: `You are independent , and you always have been !` > Mr. Geller: `Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !` > Mr. Geller: `And you would read alone in your room , and your puzzles ...`	And you would read alone in your room , and your puzzles ...	neutral
46	8	1	> Ross: `Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .`	Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .	sadness
47	8	2	> Ross: `Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .` > Susan: `Hi .`	Hi .	neutral
48	8	3	> Ross: `Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .` > Susan: `Hi .` > Carol: `Ross , you remember Susan ?`	Ross , you remember Susan ?	neutral
49	8	4	> Ross: `Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .` > Susan: `Hi .` > Carol: `Ross , you remember Susan ?` > Ross: `How could I forget ?`	How could I forget ?	neutral
50	8	5	> Susan: `Hi .` > Carol: `Ross , you remember Susan ?` > Ross: `How could I forget ?` > Susan: `Ross .`	Ross .	neutral
51	8	6	> Carol: `Ross , you remember Susan ?` > Ross: `How could I forget ?` > Susan: `Ross .` > Ross: `Hello , Susan . Good shake . Good shake .`	Hello , Susan . Good shake . Good shake .	neutral
52	8	7	> Ross: `How could I forget ?` > Susan: `Ross .` > Ross: `Hello , Susan . Good shake . Good shake .` > Ross: `So , uh , we are just waiting for ... ?`	So , uh , we are just waiting for ... ?	neutral
53	8	8	> Susan: `Ross .` > Ross: `Hello , Susan . Good shake . Good shake .` > Ross: `So , uh , we are just waiting for ... ?` > Carol: `Dr . Oberman .`	Dr . Oberman .	neutral
54	8	9	> Ross: `Hello , Susan . Good shake . Good shake .` > Ross: `So , uh , we are just waiting for ... ?` > Carol: `Dr . Oberman .` > Ross: `... Dr . Oberman . Okay . And is he ...`	... Dr . Oberman . Okay . And is he ...	neutral
55	8	10	> Ross: `So , uh , we are just waiting for ... ?` > Carol: `Dr . Oberman .` > Ross: `... Dr . Oberman . Okay . And is he ...` > Susan: `She .`	She .	neutral
56	8	11	> Carol: `Dr . Oberman .` > Ross: `... Dr . Oberman . Okay . And is he ...` > Susan: `She .` > Ross: `she , of course , she ... uh ... familiar with our ... special situation ?`	she , of course , she ... uh ... familiar with our ... special situation ?	neutral
57	8	12	> Ross: `... Dr . Oberman . Okay . And is he ...` > Susan: `She .` > Ross: `she , of course , she ... uh ... familiar with our ... special situation ?` > Carol: `Yes , and she is very supportive .`	Yes , and she is very supportive .	joy
58	8	13	> Susan: `She .` > Ross: `she , of course , she ... uh ... familiar with our ... special situation ?` > Carol: `Yes , and she is very supportive .` > Ross: `Great . Okay , that is great .`	Great . Okay , that is great .	joy
59	8	14	> Ross: `she , of course , she ... uh ... familiar with our ... special situation ?` > Carol: `Yes , and she is very supportive .` > Ross: `Great . Okay , that is great .` > Ross: `No , I am ... Oh .`	No , I am ... Oh .	neutral
60	8	15	> Carol: `Yes , and she is very supportive .` > Ross: `Great . Okay , that is great .` > Ross: `No , I am ... Oh .` > Carol: `Thanks .`	Thanks .	neutral
61	8	16	> Ross: `Great . Okay , that is great .` > Ross: `No , I am ... Oh .` > Carol: `Thanks .` > Ross: `Quack , quack ...`	Quack , quack ...	joy
62	8	17	> Ross: `No , I am ... Oh .` > Carol: `Thanks .` > Ross: `Quack , quack ...` > Carol: `Ross ? That opens my cervix .`	Ross ? That opens my cervix .	surprise
63	9	1	> Rachel: `Barry ?`	Barry ?	surprise
64	9	2	> Rachel: `Barry ?` > Barry: `C mon in .`	C mon in .	neutral
65	9	3	> Rachel: `Barry ?` > Barry: `C mon in .` > Rachel: `Are you sure ?`	Are you sure ?	surprise
66	9	4	> Rachel: `Barry ?` > Barry: `C mon in .` > Rachel: `Are you sure ?` > Barry: `Yeah ! It is fine , it is fine . Robbie gonna be here for hours .`	Yeah ! It is fine , it is fine . Robbie gonna be here for hours .	neutral
67	9	5	> Barry: `C mon in .` > Rachel: `Are you sure ?` > Barry: `Yeah ! It is fine , it is fine . Robbie gonna be here for hours .` > Robbie: `Huh ? !`	Huh ? !	surprise
68	9	6	> Rachel: `Are you sure ?` > Barry: `Yeah ! It is fine , it is fine . Robbie gonna be here for hours .` > Robbie: `Huh ? !` > Barry: `So , how you doin ?`	So , how you doin ?	neutral
69	10	1	> Barry: `So . What have you been up to ?`	So . What have you been up to ?	neutral
70	10	2	> Barry: `So . What have you been up to ?` > Rachel: `Oh , not much . I ... I got a job .`	Oh , not much . I ... I got a job .	joy
71	10	3	> Barry: `So . What have you been up to ?` > Rachel: `Oh , not much . I ... I got a job .` > Barry: `Oh , that is great .`	Oh , that is great .	joy
72	10	4	> Barry: `So . What have you been up to ?` > Rachel: `Oh , not much . I ... I got a job .` > Barry: `Oh , that is great .` > Rachel: `Why are ... why are you so tanned ?`	Why are ... why are you so tanned ?	surprise
73	10	5	> Rachel: `Oh , not much . I ... I got a job .` > Barry: `Oh , that is great .` > Rachel: `Why are ... why are you so tanned ?` > Barry: `Oh , I , uh ... I went to Aruba .`	Oh , I , uh ... I went to Aruba .	neutral
74	11	1	> Monica: `I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .`	I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .	disgust
75	11	2	> Monica: `I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .` > Paula: `Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .`	Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .	neutral
76	11	3	> Monica: `I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .` > Paula: `Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .` > Paula: `Come on , they are your friends , they are just looking out after you .`	Come on , they are your friends , they are just looking out after you .	neutral
77	11	4	> Monica: `I mean , why should I let them meet him ? I mean , I bring a guy home , and within five minutes they are all over him . I mean , they are like ... coyotes , picking off the weak members of the herd .` > Paula: `Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .` > Paula: `Come on , they are your friends , they are just looking out after you .` > Monica: `I know . I just wish that once , I would bring a guy home that they actually liked .`	I know . I just wish that once , I would bring a guy home that they actually liked .	sadness
78	11	5	> Paula: `Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .` > Paula: `Come on , they are your friends , they are just looking out after you .` > Monica: `I know . I just wish that once , I would bring a guy home that they actually liked .` > Paula: `Well , you do realise the odds of that happening are a little slimmer if they never get to meet the guy ...`	Well , you do realise the odds of that happening are a little slimmer if they never get to meet the guy ...	neutral
79	12	1	> Joey: `Let it go , Ross .`	Let it go , Ross .	neutral
80	12	2	> Joey: `Let it go , Ross .` > Ross: `Yeah , well , you did not know Chi Chi .`	Yeah , well , you did not know Chi Chi .	anger
81	12	3	> Joey: `Let it go , Ross .` > Ross: `Yeah , well , you did not know Chi Chi .` > Monica: `Do you all promise ?`	Do you all promise ?	neutral
82	12	4	> Joey: `Let it go , Ross .` > Ross: `Yeah , well , you did not know Chi Chi .` > Monica: `Do you all promise ?` > All: `Yeah ! We promise ! We will be good !`	Yeah ! We promise ! We will be good !	neutral
83	12	5	> Ross: `Yeah , well , you did not know Chi Chi .` > Monica: `Do you all promise ?` > All: `Yeah ! We promise ! We will be good !` > Monica: `Chandler ? Do you promise to be good ?`	Chandler ? Do you promise to be good ?	neutral
84	12	6	> Monica: `Do you all promise ?` > All: `Yeah ! We promise ! We will be good !` > Monica: `Chandler ? Do you promise to be good ?` > Joey: `You can come in , but your filter ... tipped little buddy has to stay outside !`	You can come in , but your filter ... tipped little buddy has to stay outside !	joy
85	12	7	> All: `Yeah ! We promise ! We will be good !` > Monica: `Chandler ? Do you promise to be good ?` > Joey: `You can come in , but your filter ... tipped little buddy has to stay outside !` > Ross: `Hey , Pheebs .`	Hey , Pheebs .	neutral
86	12	8	> Monica: `Chandler ? Do you promise to be good ?` > Joey: `You can come in , but your filter ... tipped little buddy has to stay outside !` > Ross: `Hey , Pheebs .` > Phoebe: `Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .`	Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .	neutral
87	12	9	> Joey: `You can come in , but your filter ... tipped little buddy has to stay outside !` > Ross: `Hey , Pheebs .` > Phoebe: `Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .` > Phoebe: `We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift . Do you believe this ? ! Now I have a thousand dollars , and a football phone !`	We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift . Do you believe this ? ! Now I have a thousand dollars , and a football phone !	surprise
88	13	1	> Monica: `How was the game ?`	How was the game ?	neutral
89	13	2	> Monica: `How was the game ?` > Ross: `Well ...`	Well ...	neutral
90	13	3	> Monica: `How was the game ?` > Ross: `Well ...` > All: `WE WON ! ! Thank you ! Yes !`	WE WON ! ! Thank you ! Yes !	joy
91	13	4	> Monica: `How was the game ?` > Ross: `Well ...` > All: `WE WON ! ! Thank you ! Yes !` > Monica: `Fantastic ! I have one question : How is that possible ?`	Fantastic ! I have one question : How is that possible ?	surprise
92	13	5	> Ross: `Well ...` > All: `WE WON ! ! Thank you ! Yes !` > Monica: `Fantastic ! I have one question : How is that possible ?` > Joey: `Alan .`	Alan .	neutral
93	13	6	> All: `WE WON ! ! Thank you ! Yes !` > Monica: `Fantastic ! I have one question : How is that possible ?` > Joey: `Alan .` > Ross: `He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...`	He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...	joy
94	13	7	> Monica: `Fantastic ! I have one question : How is that possible ?` > Joey: `Alan .` > Ross: `He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...` > Rachel: `I mean , it ... it was like , it was like he made us into a team .`	I mean , it ... it was like , it was like he made us into a team .	joy
95	13	8	> Joey: `Alan .` > Ross: `He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...` > Rachel: `I mean , it ... it was like , it was like he made us into a team .` > Chandler: `Yep , we sure showed those Hassidic jewellers a thing or two about softball ...`	Yep , we sure showed those Hassidic jewellers a thing or two about softball ...	joy
96	13	9	> Ross: `He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...` > Rachel: `I mean , it ... it was like , it was like he made us into a team .` > Chandler: `Yep , we sure showed those Hassidic jewellers a thing or two about softball ...` > Monica: `Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...`	Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...	neutral
97	13	10	> Rachel: `I mean , it ... it was like , it was like he made us into a team .` > Chandler: `Yep , we sure showed those Hassidic jewellers a thing or two about softball ...` > Monica: `Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...` > Ross: `What ?`	What ?	surprise
98	13	11	> Chandler: `Yep , we sure showed those Hassidic jewellers a thing or two about softball ...` > Monica: `Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...` > Ross: `What ?` > Monica: `I do not know , a little too Alan ?`	I do not know , a little too Alan ?	neutral
99	13	12	> Monica: `Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...` > Ross: `What ?` > Monica: `I do not know , a little too Alan ?` > Rachel: `Well , no . That is impossible . He can never be too Alan .`	Well , no . That is impossible . He can never be too Alan .	surprise
100	13	13	> Ross: `What ?` > Monica: `I do not know , a little too Alan ?` > Rachel: `Well , no . That is impossible . He can never be too Alan .` > Ross: `Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .`	Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .	joy
101	13	14	> Monica: `I do not know , a little too Alan ?` > Rachel: `Well , no . That is impossible . He can never be too Alan .` > Ross: `Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .` > Chandler: `I personally could have a gallon of Alan .`	I personally could have a gallon of Alan .	neutral
102	14	1	> Chandler: `Well , maybe it is a contest , you know ? Like , collect all five ?`	Well , maybe it is a contest , you know ? Like , collect all five ?	neutral
103	14	2	> Chandler: `Well , maybe it is a contest , you know ? Like , collect all five ?` > Phoebe: `Does , um , anyone wanna see ?`	Does , um , anyone wanna see ?	neutral
104	14	3	> Chandler: `Well , maybe it is a contest , you know ? Like , collect all five ?` > Phoebe: `Does , um , anyone wanna see ?` > All: `Nooo ...`	Nooo ...	disgust
105	14	4	> Chandler: `Well , maybe it is a contest , you know ? Like , collect all five ?` > Phoebe: `Does , um , anyone wanna see ?` > All: `Nooo ...` > All: `Oh , hey , do not do that ! Cut it out !`	Oh , hey , do not do that ! Cut it out !	anger
106	14	5	> Phoebe: `Does , um , anyone wanna see ?` > All: `Nooo ...` > All: `Oh , hey , do not do that ! Cut it out !` > Rachel: `It is worse than the thumb !`	It is worse than the thumb !	disgust
107	14	6	> All: `Nooo ...` > All: `Oh , hey , do not do that ! Cut it out !` > Rachel: `It is worse than the thumb !` > Chandler: `Hey , this is so unfair !`	Hey , this is so unfair !	anger
108	14	7	> All: `Oh , hey , do not do that ! Cut it out !` > Rachel: `It is worse than the thumb !` > Chandler: `Hey , this is so unfair !` > Monica: `Oh , why is it unfair ?`	Oh , why is it unfair ?	surprise
109	14	8	> Rachel: `It is worse than the thumb !` > Chandler: `Hey , this is so unfair !` > Monica: `Oh , why is it unfair ?` > Chandler: `So I have a flaw !`	So I have a flaw !	anger
110	14	9	> Chandler: `Hey , this is so unfair !` > Monica: `Oh , why is it unfair ?` > Chandler: `So I have a flaw !` > Chandler: `Big deal !`	Big deal !	anger
111	14	10	> Monica: `Oh , why is it unfair ?` > Chandler: `So I have a flaw !` > Chandler: `Big deal !` > Chandler: `Like Joey constant knuckle ... cracking is not annoying ?`	Like Joey constant knuckle ... cracking is not annoying ?	anger
112	14	11	> Chandler: `So I have a flaw !` > Chandler: `Big deal !` > Chandler: `Like Joey constant knuckle ... cracking is not annoying ?` > Chandler: `And Ross , with his over ... pronouncing every single word ?`	And Ross , with his over ... pronouncing every single word ?	anger
113	14	12	> Chandler: `Big deal !` > Chandler: `Like Joey constant knuckle ... cracking is not annoying ?` > Chandler: `And Ross , with his over ... pronouncing every single word ?` > Chandler: `And Monica , with that snort when she laughs ?`	And Monica , with that snort when she laughs ?	anger
114	14	13	> Chandler: `Like Joey constant knuckle ... cracking is not annoying ?` > Chandler: `And Ross , with his over ... pronouncing every single word ?` > Chandler: `And Monica , with that snort when she laughs ?` > Chandler: `I mean , what the hell is that thing ?`	I mean , what the hell is that thing ?	disgust
115	14	14	> Chandler: `And Ross , with his over ... pronouncing every single word ?` > Chandler: `And Monica , with that snort when she laughs ?` > Chandler: `I mean , what the hell is that thing ?` > Chandler: `... I accept all those flaws , why can not you accept me for this ?`	... I accept all those flaws , why can not you accept me for this ?	anger
116	14	15	> Chandler: `And Monica , with that snort when she laughs ?` > Chandler: `I mean , what the hell is that thing ?` > Chandler: `... I accept all those flaws , why can not you accept me for this ?` > Joey: `... Does the knuckle ... cracking bother everybody ?`	... Does the knuckle ... cracking bother everybody ?	anger
117	14	16	> Chandler: `I mean , what the hell is that thing ?` > Chandler: `... I accept all those flaws , why can not you accept me for this ?` > Joey: `... Does the knuckle ... cracking bother everybody ?` > Rachel: `Well , I ... I could live without it .`	Well , I ... I could live without it .	neutral
118	14	17	> Chandler: `... I accept all those flaws , why can not you accept me for this ?` > Joey: `... Does the knuckle ... cracking bother everybody ?` > Rachel: `Well , I ... I could live without it .` > Joey: `Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?`	Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?	neutral
119	14	18	> Joey: `... Does the knuckle ... cracking bother everybody ?` > Rachel: `Well , I ... I could live without it .` > Joey: `Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?` > Ross: `Oh , now , do not listen to him , Pheebs , I think it is endearing .`	Oh , now , do not listen to him , Pheebs , I think it is endearing .	neutral
120	14	19	"> Rachel: `Well , I ... I could live without it .` > Joey: `Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?` > Ross: `Oh , now , do not listen to him , Pheebs , I think it is endearing .` > Joey: `Oh , "" you do , do you "" ?`"	"Oh , "" you do , do you "" ?"	anger
121	14	20	"> Joey: `Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?` > Ross: `Oh , now , do not listen to him , Pheebs , I think it is endearing .` > Joey: `Oh , "" you do , do you "" ?` > Ross: `You know , there is nothing wrong with speaking correctly .`"	You know , there is nothing wrong with speaking correctly .	neutral
122	14	21	"> Ross: `Oh , now , do not listen to him , Pheebs , I think it is endearing .` > Joey: `Oh , "" you do , do you "" ?` > Ross: `You know , there is nothing wrong with speaking correctly .` > Rachel: `"" Indeed there is not "" ... I should really get back to work .`"	""" Indeed there is not "" ... I should really get back to work ."	neutral
123	14	22	"> Joey: `Oh , "" you do , do you "" ?` > Ross: `You know , there is nothing wrong with speaking correctly .` > Rachel: `"" Indeed there is not "" ... I should really get back to work .` > Phoebe: `Yeah , cause otherwise someone might get what they actually ordered .`"	Yeah , cause otherwise someone might get what they actually ordered .	neutral
124	14	23	"> Ross: `You know , there is nothing wrong with speaking correctly .` > Rachel: `"" Indeed there is not "" ... I should really get back to work .` > Phoebe: `Yeah , cause otherwise someone might get what they actually ordered .` > Rachel: `Ohh ... ho ... hooohhh . The hair comes out , and the gloves come on .`"	Ohh ... ho ... hooohhh . The hair comes out , and the gloves come on .	anger
125	15	1	> Joey: `Do you have any respect for your body ?`	Do you have any respect for your body ?	disgust
126	15	2	> Joey: `Do you have any respect for your body ?` > Ross: `Do not you realise what you are ... you are doing to yourself ?`	Do not you realise what you are ... you are doing to yourself ?	disgust
